dispute_sequence,utterance_id,ssot_logical_utterance_uid,old_order,new_order,old_timestamp,new_timestamp,text_changed,order_changed,reply_order_changed,needs_rereview
D04,715051022.28914.28914,wikiconv:715051022.28914.28914,15,11,2016-04-13 13:14:37,2016-04-13 13:14:37,False,True,True,True
D04,715154315.29840.29840,wikiconv:715154315.29840.29840,17,12,2016-04-14 02:23:17,2016-04-14 02:23:17,False,True,True,True
D04,715187067.29950.29950,wikiconv:715187067.29950.29950,18,13,2016-04-14 07:50:24,2016-04-14 07:50:24,False,True,True,True
D04,714748613.96746.96746,wikiconv:714748613.96746.96746,5,14,2016-04-11 17:37:05,2016-04-11 17:37:05,False,True,False,True
D04,714835444.98169.98169,wikiconv:714835444.98169.98169,7,15,2016-04-12 04:30:38,2016-04-12 04:30:38,False,True,True,True
D04,714860846.99114.99114,wikiconv:714860846.99114.99114,9,16,2016-04-12 09:04:19,2016-04-12 09:04:19,False,True,False,True
D04,714860995.99749.99749,wikiconv:714860995.99749.99749,10,17,2016-04-12 09:05:17,2016-04-12 09:05:17,False,True,False,True
D04,715133338.29482.29482,wikiconv:715133338.29482.29482,16,18,2016-04-13 23:28:50,2016-04-13 23:28:50,False,True,True,True
D05,781245470.3456.3456,,1,1,2017-05-20 01:55:25,2017-05-20 01:55:25,False,False,False,False
D05,781245470.3476.3456,wikiconv:781245470.3476.3456,2,2,2017-05-20 01:55:25,2017-05-20 01:55:25,False,False,True,True
D05,781327259.2525.2525,wikiconv:781327259.2525.2525,3,3,2017-05-20 16:07:34,2017-05-20 16:07:34,False,False,True,True
D05,781350271.3645.3645,wikiconv:781350271.3645.3645,4,4,2017-05-20 19:05:08,2017-05-20 19:05:08,False,False,False,False
D05,781382457.4545.4545,wikiconv:781382457.4545.4545,5,5,2017-05-20 23:15:14,2017-05-20 23:15:14,False,False,False,False
D05,781418739.5655.5655,wikiconv:781418739.5655.5655,6,6,2017-05-21 04:47:55,2017-05-21 04:47:55,False,False,True,True
D05,781433429.5936.5936,wikiconv:781433429.5936.5936,7,7,2017-05-21 07:25:04,2017-05-21 07:25:04,False,False,False,False
D05,781494536.9793.9793,wikiconv:781494536.9793.9793,9,8,2017-05-21 16:50:21,2017-05-21 16:50:21,False,True,True,True
D05,781543962.12161.12161,wikiconv:781543962.12161.12161,11,9,2017-05-21 22:22:17,2017-05-21T21:22:17+00:00,False,True,True,True
D05,781456235.6476.6476,wikiconv:781456235.6476.6476,8,10,2017-05-21 11:24:47,2017-05-21 11:24:47,False,True,False,True
D05,781521501.10851.10851,wikiconv:781521501.10851.10851,10,11,2017-05-21 20:05:04,2017-05-21 20:05:04,False,True,True,True
D06,11987337.88.88,,1,1,2005-04-07 05:07:20,2005-04-07 05:07:20,False,False,False,False
D06,11987337.105.88,wikiconv:11987337.105.88,2,2,2005-04-07 05:07:20,2005-04-07 05:07:20,False,False,True,True
D06,12021822.443.443,wikiconv:12021822.443.443,3,3,2005-04-07 08:11:18,2005-04-07 08:11:18,False,False,False,False
D06,12026928.514.514,wikiconv:12026928.514.514,4,4,2005-04-08 04:06:41,2005-04-08T03:06:41+00:00,False,False,False,False
D06,12040777.1409.1409,wikiconv:12040777.1409.1409,5,5,2005-04-08 07:09:37,2005-04-08 07:09:37,False,False,False,False
D06,12337168.1699.1699,wikiconv:12337168.1699.1699,6,6,2005-04-08 16:53:34,2005-04-08 16:53:34,False,False,False,False
D06,13742168.1956.1956,wikiconv:13742168.1956.1956,7,7,2005-04-15 10:18:37,2005-04-15T09:18:37+00:00,False,False,False,False
D07,17663565.0.0,wikiconv:17663565.0.0,1,1,2005-06-15 06:53:15,2005-06-15 06:53:15,False,False,False,False
D07,17663565.17.0,wikiconv:17663565.17.0,2,2,2005-06-15 06:53:15,2005-06-15 06:53:15,False,False,False,False
D07,20965557.231.231,wikiconv:20965557.231.231,3,3,2005-08-14 03:49:18,2005-08-14 03:49:18,False,False,False,False
D07,21501627.925.925,wikiconv:21501627.925.925,4,4,2005-08-21 16:05:05,2005-08-21 16:05:05,False,False,False,False
D07,32922858.1612.1612,wikiconv:32922858.1612.1612,5,5,2005-12-27 22:40:18,2005-12-27 22:40:18,False,False,False,False
D07,32923175.2176.2176,wikiconv:32923175.2176.2176,6,6,2005-12-27 22:43:50,2005-12-27 22:43:50,False,False,False,False
D08,557460332.59541.59541,,1,1,2013-05-30 05:18:56,2013-05-30 05:18:56,False,False,False,False
D08,557460332.59569.59541,wikiconv:557460332.59569.59541,2,2,2013-05-30 05:18:56,2013-05-30 05:18:56,False,False,True,True
D08,557461999.60762.60762,wikiconv:557461999.60762.60762,3,3,2013-05-30 05:34:35,2013-05-30 05:34:35,False,False,False,False
D08,557467544.60914.60914,wikiconv:557467544.60914.60914,4,4,2013-05-30 06:28:51,2013-05-30 06:28:51,False,False,False,False
D08,557470404.61040.61040,wikiconv:557470404.61040.61040,5,5,2013-05-30 06:55:27,2013-05-30 06:55:27,False,False,False,False
D08,557477145.61522.61522,wikiconv:557477145.61522.61522,6,6,2013-05-30 08:07:40,2013-05-30 08:07:40,False,False,False,False
D08,557491531.61854.61854,wikiconv:557491531.61854.61854,7,7,2013-05-30 10:50:10,2013-05-30 10:50:10,False,False,False,False
D08,557515715.62640.62640,wikiconv:557515715.62640.62640,8,8,2013-05-30 14:28:38,2013-05-30 14:28:38,False,False,False,False
D08,557541460.64739.64739,wikiconv:557541460.64739.64739,9,9,2013-05-30 17:33:25,2013-05-30 17:33:25,False,False,False,False
D08,557542208.65101.65101,wikiconv:557542208.65101.65101,10,10,2013-05-30 17:38:09,2013-05-30 17:38:09,False,False,False,False
D08,557544613.65225.65225,wikiconv:557544613.65225.65225,11,11,2013-05-30 17:54:57,2013-05-30 17:54:57,False,False,False,False
D08,557808902.65418.65418,wikiconv:557808902.65418.65418,12,12,2013-06-01 10:44:53,2013-06-01 10:44:53,False,False,False,False
D08,558301329.65795.65795,wikiconv:558301329.65795.65795,13,13,2013-06-04 16:23:53,2013-06-04 16:23:53,False,False,False,False
D09,649421080.5529.5529,,1,1,2015-03-01 19:52:45,2015-03-01 19:52:45,False,False,False,False
D09,649434094.6609.6253,wikiconv:649434094.6609.6253,2,2,2015-03-01 20:36:28,2015-03-01T20:36:28+00:00,False,False,True,True
D09,649434094.5702.5702,wikiconv:649434094.5702.5702,3,3,2015-03-01 20:53:45,2015-03-01T20:53:45+00:00,False,False,True,True
D09,649438111.7615.7615,wikiconv:649438111.7615.7615,4,4,2015-03-01 22:04:59,2015-03-01 22:04:59,False,False,False,False
D09,649510685.7855.7855,wikiconv:649510685.7855.7855,5,5,2015-03-02 09:15:36,2015-03-02 09:15:36,False,False,False,False
D09,649514098.8219.8219,wikiconv:649514098.8219.8219,6,6,2015-03-02 09:46:13,2015-03-02 09:46:13,False,False,False,False
D09,649678839.8511.8511,wikiconv:649678839.8511.8511,7,7,2015-03-03 12:15:30,2015-03-03 12:15:30,False,False,False,False
D09,649680254.9010.9010,wikiconv:649680254.9010.9010,8,8,2015-03-03 12:33:53,2015-03-03 12:33:53,False,False,False,False
D09,649681508.9322.9322,wikiconv:649681508.9322.9322,9,9,2015-03-03 12:48:33,2015-03-03T12:48:33+00:00,False,False,False,False
D09,649681994.9426.9426,wikiconv:649681994.9426.9426,10,10,2015-03-03 12:54:44,2015-03-03 12:54:44,False,False,False,False
D09,649682387.9546.9546,wikiconv:649682387.9546.9546,11,11,2015-03-03 12:58:52,2015-03-03 12:58:52,False,False,False,False
D09,649817857.9753.9753,wikiconv:649817857.9753.9753,12,12,2015-03-04 09:25:04,2015-03-04T09:25:04+00:00,False,False,False,False
D09,649915139.10808.10808,wikiconv:649915139.10808.10808,13,13,2015-03-05 00:05:51,2015-03-05T00:05:51+00:00,False,False,False,False
D09,649970070.13164.13164,wikiconv:649970070.13164.13164,14,14,2015-03-05 09:41:50,2015-03-05T09:41:50+00:00,False,False,False,False
D09,651773807.13731.13731,wikiconv:651773807.13731.13731,15,15,2015-03-17 12:31:48,2015-03-17 12:31:48,False,False,False,False
D09,654167651.13946.13946,wikiconv:654167651.13946.13946,16,16,2015-03-30 12:45:31,2015-03-30 12:45:31,False,False,False,False
D10,821005132.10328.10328,,1,1,2018-01-17 21:45:17,2018-01-17 21:45:17,False,False,False,False
D10,821005132.10351.10328,wikiconv:821005132.10351.10328,2,2,2018-01-17 21:45:17,2018-01-17 21:45:17,False,False,True,True
D10,821084011.10924.10924,wikiconv:821084011.10924.10924,3,3,2018-01-18 08:22:50,2018-01-18 08:22:50,False,False,True,True
D10,821094229.12823.12823,wikiconv:821094229.12823.12823,4,4,2018-01-18 10:03:08,2018-01-18 10:03:08,False,False,False,False
D10,821096244.13757.13757,wikiconv:821096244.13757.13757,5,5,2018-01-18 10:27:27,2018-01-18 10:27:27,False,False,False,False
D10,821100479.14380.14380,wikiconv:821100479.14380.14380,6,6,2018-01-18 11:13:25,2018-01-18 11:13:25,False,False,False,False
D10,821130366.15078.15078,wikiconv:821130366.15078.15078,7,7,2018-01-18 16:00:14,2018-01-18 16:00:14,False,False,True,True
D10,821145938.16250.16250,wikiconv:821145938.16250.16250,8,8,2018-01-18 17:56:14,2018-01-18 17:56:14,False,False,False,False
D10,821325699.16533.16533,wikiconv:821325699.16533.16533,9,9,2018-01-19 19:33:12,2018-01-19 19:33:12,False,False,False,False
D10,821584093.17066.17066,wikiconv:821584093.17066.17066,10,10,2018-01-21 11:01:28,2018-01-21 11:01:28,False,False,False,False
D10,821604638.17751.17751,wikiconv:821604638.17751.17751,11,11,2018-01-21 14:20:53,2018-01-21 14:20:53,False,False,True,True
D10,821726999.18312.18312,wikiconv:821726999.18312.18312,13,12,2018-01-22 07:28:07,2018-01-22 07:28:07,False,True,True,True
D10,821780340.19038.19038,wikiconv:821780340.19038.19038,14,13,2018-01-22 16:10:20,2018-01-22 16:10:20,False,True,True,True
D10,821797017.19490.19432,wikiconv:821797017.19490.19432,15,14,2018-01-22 18:03:43,2018-01-22 18:03:43,False,True,True,True
D10,821805207.20221.20221,wikiconv:821805207.20221.20221,16,15,2018-01-22 19:03:05,2018-01-22 19:03:05,False,True,True,True
D10,822094469.20512.20512,wikiconv:822094469.20512.20512,17,16,2018-01-24 10:28:33,2018-01-24 10:28:33,False,True,True,True
D10,821662831.17954.17954,wikiconv:821662831.17954.17954,12,17,2018-01-21 21:45:55,2018-01-21 21:45:55,False,True,True,True
D11,500999211.748.748,,1,1,2012-07-06 21:04:05,2012-07-06 21:04:05,False,False,False,False
D11,502099479.1800.1800,wikiconv:502099479.1800.1800,3,2,2012-07-13 18:53:00,2012-07-13 18:53:00,False,True,True,True
D11,502099809.2947.2947,wikiconv:502099809.2947.2947,4,3,2012-07-13 18:54:59,2012-07-13 18:54:59,False,True,True,True
D11,503026903.3198.3198,wikiconv:503026903.3198.3198,5,4,2012-07-18 22:53:50,2012-07-18 22:53:50,False,True,True,True
D11,503120888.3303.3303,wikiconv:503120888.3303.3303,6,5,2012-07-19 15:02:24,2012-07-19 15:02:24,False,True,True,True
D11,503206827.3526.3526,wikiconv:503206827.3526.3526,7,6,2012-07-20 02:01:16,2012-07-20 02:01:16,False,True,True,True
D11,503207339.4135.4135,wikiconv:503207339.4135.4135,8,7,2012-07-20 02:05:43,2012-07-20 02:05:43,False,True,True,True
D11,503217973.4311.4253,wikiconv:503217973.4311.4253,10,8,2012-07-20 03:58:38,2012-07-20 03:58:38,False,True,True,True
D11,503219099.4490.4490,wikiconv:503219099.4490.4490,11,9,2012-07-20 04:09:06,2012-07-20 04:09:06,False,True,True,True
D11,505635118.4912.4912,wikiconv:505635118.4912.4912,13,10,2012-08-03 21:54:08,2012-08-03 21:54:08,False,True,True,True
D11,505673578.5021.5021,wikiconv:505673578.5021.5021,14,11,2012-08-04 03:11:20,2012-08-04 03:11:20,False,True,True,True
D11,505819355.5604.5604,wikiconv:505819355.5604.5604,15,12,2012-08-05 00:32:57,2012-08-05 00:32:57,False,True,True,True
D11,505819532.5801.5801,wikiconv:505819532.5801.5801,16,13,2012-08-05 00:34:33,2012-08-05 00:34:33,False,True,True,True
D11,501000562.792.792,wikiconv:501000562.792.792,2,14,2012-07-06 21:15:29,2012-07-06 21:15:29,False,True,True,True
D11,503217973.3885.3885,wikiconv:503217973.3885.3885,9,15,2012-07-20 03:58:38,2012-07-20 03:58:38,False,True,True,True
D11,503462527.4666.4666,wikiconv:503462527.4666.4666,12,16,2012-07-21 18:33:03,2012-07-21 18:33:03,False,True,True,True
D12,86372991.130.0,,1,1,2006-11-07 22:56:41,2006-11-07 22:56:41,False,False,False,False
D12,86450171.148.148,wikiconv:86450171.148.148,2,2,2006-11-07 22:56:41,2006-11-07T22:56:41+00:00,False,False,True,True
D12,86450171.1766.1767,wikiconv:86450171.1766.1767,3,3,2006-11-08 07:40:32,2006-11-08 07:40:32,False,False,False,False
D12,89025434.2033.2033,wikiconv:89025434.2033.2033,4,4,2006-11-20 15:51:13,2006-11-20 15:51:13,False,False,True,True
D12,89030934.2756.2756,wikiconv:89030934.2756.2756,5,5,2006-11-20 16:22:56,2006-11-20 16:22:56,False,False,False,False
D12,89079449.3120.3120,wikiconv:89079449.3120.3120,6,6,2006-11-20 20:40:58,2006-11-20 20:40:58,False,False,False,False
D13,600220447.57405.57405,wikiconv:600220447.57405.57405,1,1,2014-03-18 21:55:33,2014-03-18 21:55:33,False,False,False,False
D13,600220623.57421.57421,wikiconv:600220623.57421.57421,2,2,2014-03-18 21:55:33,2014-03-18T21:55:33+00:00,False,False,False,False
D13,600225706.59152.59152,wikiconv:600225706.59152.59152,3,3,2014-03-18 22:36:47,2014-03-18 22:36:47,False,False,False,False
D13,600226702.59606.59606,wikiconv:600226702.59606.59606,4,4,2014-03-18 22:44:25,2014-03-18 22:44:25,False,False,False,False
D13,600227330.60324.60324,wikiconv:600227330.60324.60324,5,5,2014-03-18 22:49:06,2014-03-18 22:49:06,False,False,False,False
D13,600227757.60635.60635,wikiconv:600227757.60635.60635,6,6,2014-03-18 22:52:07,2014-03-18 22:52:07,False,False,False,False
D13,600228374.61021.61021,wikiconv:600228374.61021.61021,7,7,2014-03-18 22:57:02,2014-03-18 22:57:02,False,False,False,False
D13,600228859.61499.61499,wikiconv:600228859.61499.61499,8,8,2014-03-18 23:00:27,2014-03-18 23:00:27,False,False,False,False
D13,600233608.66467.66467,wikiconv:600233608.66467.66467,9,9,2014-03-18 23:39:25,2014-03-18T23:39:25+00:00,False,False,False,False
D13,600234391.66967.66967,wikiconv:600234391.66967.66967,10,10,2014-03-18 23:47:16,2014-03-18T23:47:16+00:00,False,False,False,False
D13,600234490.66967.66967,wikiconv:600234490.66967.66967,11,11,2014-03-18 23:48:32,2014-03-18 23:48:32,False,False,False,False
D13,600235823.67385.67385,wikiconv:600235823.67385.67385,12,12,2014-03-18 23:59:08,2014-03-18T23:59:08+00:00,False,False,False,False
D13,600236360.67640.67640,wikiconv:600236360.67640.67640,13,13,2014-03-19 00:03:56,2014-03-19 00:03:56,False,False,False,False
D13,600236931.67838.67838,wikiconv:600236931.67838.67838,14,14,2014-03-19 00:09:04,2014-03-19 00:09:04,False,False,False,False
D13,600237803.68163.68163,wikiconv:600237803.68163.68163,15,15,2014-03-19 00:16:08,2014-03-19 00:16:08,False,False,False,False
D13,600238335.68326.68326,wikiconv:600238335.68326.68326,16,16,2014-03-19 00:21:10,2014-03-19 00:21:10,False,False,False,False
D13,600238769.68839.68839,wikiconv:600238769.68839.68839,17,17,2014-03-19 00:24:50,2014-03-19 00:24:50,False,False,False,False
D13,600239451.68965.68965,wikiconv:600239451.68965.68965,18,18,2014-03-19 00:30:40,2014-03-19 00:30:40,False,False,False,False
D13,600240985.69478.69478,wikiconv:600240985.69478.69478,19,19,2014-03-19 00:44:03,2014-03-19 00:44:03,False,False,False,False
D13,600241374.70739.70739,wikiconv:600241374.70739.70739,20,20,2014-03-19 00:47:50,2014-03-19 00:47:50,False,False,False,False
D13,600615120.102128.102128,wikiconv:600615120.102128.102128,21,21,2014-03-21 16:35:17,2014-03-21T16:35:17+00:00,False,False,False,False
D14,6978062.0.0,,1,1,2004-10-30 10:34:04,2004-10-30 10:34:04,False,False,False,False
D14,6978916.202.202,wikiconv:6978916.202.202,2,2,2004-10-30 11:55:41,2004-10-30 11:55:41,False,False,True,True
D14,6978951.601.601,wikiconv:6978951.601.601,3,3,2004-10-30 11:58:41,2004-10-30 11:58:41,False,False,False,False
D14,6989460.897.897,wikiconv:6989460.897.897,4,4,2004-10-30 17:58:28,2004-10-30 17:58:28,False,False,False,False
D14,7060278.1186.1186,wikiconv:7060278.1186.1186,5,5,2004-10-30 20:49:42,2004-10-30 20:49:42,False,False,False,False
D14,7066369.1509.1509,wikiconv:7066369.1509.1509,6,6,2004-11-03 03:02:22,2004-11-03 03:02:22,False,False,False,False
D14,7156853.2970.2970,wikiconv:7156853.2970.2970,7,7,2004-11-06 03:41:16,2004-11-06T03:41:16+00:00,False,False,False,False
D14,7156853.5730.5622,wikiconv:7156853.5730.5622,8,8,2004-11-06 13:30:54,2004-11-06 13:30:54,False,False,False,False
D14,7157284.6167.6167,wikiconv:7157284.6167.6167,9,9,2004-11-06 13:54:35,2004-11-06 13:54:35,False,False,False,False
D15,140702270.4282.4282,wikiconv:140702270.4282.4282,1,1,2007-06-26 09:46:51,2007-06-26 09:46:51,False,False,False,False
D15,140702270.4311.4282,wikiconv:140702270.4311.4282,2,2,2007-06-26 09:46:51,2007-06-26 09:46:51,False,False,False,False
D15,140716230.4758.4758,wikiconv:140716230.4758.4758,3,3,2007-06-26 11:49:44,2007-06-26 11:49:44,False,False,False,False
D15,152787034.5110.5110,wikiconv:152787034.5110.5110,4,4,2007-08-21 23:22:21,2007-08-21 23:22:21,False,False,False,False
D15,152787819.6146.6146,wikiconv:152787819.6146.6146,5,5,2007-08-21 23:26:17,2007-08-21 23:26:17,False,False,False,False
D16,605916092.22490.22490,,1,1,2014-04-26 17:56:13,2014-04-26 17:56:13,False,False,False,False
D16,606309088.15254.15254,wikiconv:606309088.15254.15254,4,2,2014-04-29 11:22:17,2014-04-29 11:22:17,False,True,True,True
D16,606800823.15399.15399,wikiconv:606800823.15399.15399,5,3,2014-05-02 19:17:09,2014-05-02 19:17:09,False,True,True,True
D16,606024046.22544.22544,wikiconv:606024046.22544.22544,2,4,2014-04-27 13:28:12,2014-04-27 13:28:12,False,True,True,True
D16,606301823.13977.13977,wikiconv:606301823.13977.13977,3,5,2014-04-29 10:05:04,2014-04-29 10:05:04,False,True,True,True
D17,661552475.107580.107580,,1,1,2015-05-09 14:46:26,2015-05-09 14:46:26,False,False,False,False
D17,662046446.113863.113863,wikiconv:662046446.113863.113863,3,2,2015-05-12 20:19:44,2015-05-12 20:19:44,False,True,True,True
D17,662238077.117693.117693,wikiconv:662238077.117693.117693,4,3,2015-05-14 02:26:44,2015-05-14 02:26:44,False,True,True,True
D17,662027471.107616.107616,wikiconv:662027471.107616.107616,2,4,2015-05-12 18:07:08,2015-05-12 18:07:08,False,True,True,True
D17,665698737.116981.116679,wikiconv:665698737.116981.116679,5,5,2015-06-06 02:38:37,2015-06-06 02:38:37,False,False,True,True
D17,665698737.119267.118957,wikiconv:665698737.119267.118957,6,6,2015-06-06 02:38:37,2015-06-06 02:38:37,False,False,True,True
D18,504097375.22077.22077,,1,1,2012-07-25 12:25:35,2012-07-25 12:25:35,False,False,False,False
D18,504287797.23611.23611,wikiconv:504287797.23611.23611,4,2,2012-07-26 17:14:07,2012-07-26 17:14:07,False,True,True,True
D18,504289158.24539.24539,wikiconv:504289158.24539.24539,5,3,2012-07-26 17:23:52,2012-07-26 17:23:52,False,True,True,True
D18,504290459.25030.25030,wikiconv:504290459.25030.25030,6,4,2012-07-26 17:33:24,2012-07-26 17:33:24,False,True,True,True
D18,504451102.25271.25271,wikiconv:504451102.25271.25271,7,5,2012-07-27 17:19:29,2012-07-27 17:19:29,False,True,True,True
D18,504968806.26247.26247,wikiconv:504968806.26247.26247,8,6,2012-07-30 19:01:16,2012-07-30 19:01:16,False,True,True,True
D18,504970960.27445.27445,wikiconv:504970960.27445.27445,9,7,2012-07-30 19:18:09,2012-07-30 19:18:09,False,True,True,True
D18,504975435.28158.28158,wikiconv:504975435.28158.28158,10,8,2012-07-30 19:52:42,2012-07-30 19:52:42,False,True,True,True
D18,504977245.28679.28679,wikiconv:504977245.28679.28679,11,9,2012-07-30 20:07:14,2012-07-30 20:07:14,False,True,True,True
D18,505310930.29101.29101,wikiconv:505310930.29101.29101,12,10,2012-08-01 20:40:58,2012-08-01 20:40:58,False,True,True,True
D18,504097450.22092.22092,wikiconv:504097450.22092.22092,2,11,2012-07-25 12:26:34,2012-07-25 12:26:34,False,True,True,True
D18,504275365.22504.22504,wikiconv:504275365.22504.22504,3,12,2012-07-26 15:43:15,2012-07-26 15:43:15,False,True,True,True
D19,504527620.141500.141500,,1,1,2012-07-28 03:05:47,2012-07-28 03:05:47,False,False,False,False
D19,504527620.141525.141500,wikiconv:504527620.141525.141500,2,2,2012-07-28 03:05:47,2012-07-28 03:05:47,False,False,True,True
